nombre,poblacion,superficie,continente,independencia
Comoras,919901,1862,África,True
Benín,13224860,112622,África,True
Estados Unidos,340110988,9372610,América,True
Mayotte,320901,374,África,False
Gambia,2422712,10689,África,True
Uzbekistán,37859698,447400,Asia,True
China,1408280000,9706961,Asia,True
Armenia,3076200,29743,Asia,True
Kosovo,1585566,10908,Europa,True
Francia,68706000,551695,Europa,True
Reunión,896175,2511,África,False
Sri Lanka,21763170,65610,Asia,True
Anguilla,16010,91,América,False
Ciudad Del Vaticano,882,0.44,Europa,True
Colombia,53057212,1141748,América,True
Ucrania,32862000,603500,Europa,True
Djibouti,1066809,23200,África,True
Kirguizistán,7281800,199951,Asia,True
Surinam,616500,163820,América,True
Taiwán,23317031,36193,Asia,False
Burkina Faso,24070553,272967,África,True
Guinea,14363931,245857,África,True
Guayana Francesa,292354,83534,América,False
Países Bajos,18100436,41850,Europa,True
Palau,16733,459,Oceanía,True
Palestina,5483450,6220,Asia,False
Togo,8095498,56785,África,True
Territorio Británico Del Océano Índico,0,60,África,False
Rumania,19036031,238391,Europa,True
Hungría,9539502,93028,Europa,True
Vanuatu,321409,12189,Oceanía,True
Corea Del Sur,51159889,100210,Asia,True
Mónaco,38423,2.02,Europa,True
Kenia,53330978,580367,África,True
Islas Faroe,54885,1393,Europa,False
Iran,85961000,1648195,Asia,True
Sint Maarten,41349,34,América,False
Bielorrusia,9109280,207600,Europa,True
Santa Lucía,184100,616,América,True
Estonia,1369995,45227,Europa,True
Argelia,47400000,2381741,África,True
Malta,574250,316,Europa,True
Namibia,3022401,825615,África,True
Sudán Del Sur,15786898,619745,África,True
Chipre,1442614,9251,Europa,True
Haití,11867032,27750,América,True
Jersey,103267,116,Europa,False
Líbano,5490000,10452,Asia,True
Liechtenstein,40900,160,Europa,True
Islas Marshall,42418,181,Oceanía,True
Catar,3173024,11586,Asia,True
Nicaragua,6803886,130373,América,True
Maldivas,515132,300,Asia,True
Letonia,1829000,64559,Europa,True
Guinea-Bisáu,1781308,36125,África,True
Portugal,10749635,92090,Europa,True
Guam,153836,549,Oceanía,False
Senegal,18593258,196722,África,True
Turkmenistán,7057841,488100,Asia,True
Antigua Y Barbuda,103603,442,América,True
República Eslovaca,5413813,49037,Europa,True
Ecuador,18103660,276841,América,True
Polinesia Francesa,279500,4167,Oceanía,False
República Centroafricana,6470307,622984,África,True
Malawi,20734262,118484,África,True
Laos,7647000,236800,Asia,True
Islas Pitcairn,35,47,Oceanía,False
Italia,58927633,301336,Europa,True
Georgia,4000921,69700,Asia,True
Polonia,37392000,312679,Europa,True
