Nepal,29136808,147181,Asia,True 
Reino Unido,67215293,242900,Europe,True 
Catar,2881060,11586,Asia,True 
Guayana Francesa,254541,83534,Americas,False 
Arabia Saudí,34813867,2149690,Asia,True 
Venezuela,28435943,916445,Americas,True 
Kuwait,4270563,17818,Asia,True 
Túnez,11818618,163610,Africa,True 
Antigua Y Barbuda,97928,442,Americas,True 
Guinea,13132792,245857,Africa,True 
India,1380004385,3287590,Asia,True 
Groenlandia,56367,2166086,Americas,False 
Islas Cocos O Islas Keeling,544,14,Oceania,False 
Macedonia Del Norte,2077132,25713,Europe,True 
Mayotte,226915,374,Africa,False 
Suiza,8654622,41284,Europe,True 
Mauritania,4649660,1030700,Africa,True 
Benín,12123198,112622,Africa,True 
Egipto,102334403,1002450,Africa,True 
Territorio Británico Del Océano Índico,3000,60,Africa,False 
Bulgaria,6927288,110879,Europe,True 
Islas Malvinas,2563,12173,Americas,False 
Tayikistán,9537642,143100,Asia,True 
Madagascar,27691019,587041,Africa,True 
Siria,17500657,185180,Asia,True 
Grecia,10715549,131990,Europe,True 
Mali,20250834,1240192,Africa,True 
Chipre,1207361,9251,Europe,True 
Islas Turks Y Caicos,38718,948,Americas,False 
Filipinas,109581085,342353,Asia,True 
Brasil,212559409,8515767,Americas,True 
Caribe Neerlandés,25987,328,Americas,False 
Jamaica,2961161,10991,Americas,True 
Trinidad Y Tobago,1399491,5130,Americas,True 
San Vicente Y Granadinas,110947,389,Americas,True 
Marruecos,36910558,446550,Africa,True 
Argelia,44700000,2381741,Africa,True 
Panamá,4314768,75417,Americas,True 
Jersey,100800,116,Europe,False 
Laos,7275556,236800,Asia,True 
Perú,32971846,1285216,Americas,True 
Ciudad Del Vaticano,451,0,Europe,True 
Israel,9216900,20770,Asia,True 
Gibraltar,33691,6,Europe,False 
Canadá,38005238,9984670,Americas,True 
República Eslovaca,5458827,49037,Europe,True 
Polinesia Francesa,280904,4167,Oceania,False 
Liechtenstein,38137,160,Europe,True 
Myanmar,54409794,676578,Asia,True 
Guam,168783,549,Oceania,False 
Sahara Occidental,510713,266000,Africa,False 
Islas Svalbard Y Jan Mayen,2562,61399,Europe,False 
Guadalupe,400132,1628,Americas,False 
Paraguay,7132530,406752,Americas,True 
Vietnam,97338583,331212,Asia,True 
Islas Pitcairn,56,47,Oceania,False 
Indonesia,273523621,1904569,Asia,True 
Gabón,2225728,267668,Africa,True 
Ghana,31072945,238533,Africa,True 
Sudáfrica,59308690,1221037,Africa,True 
Papúa Nueva Guinea,8947027,462840,Oceania,True 
Burkina Faso,20903278,272967,Africa,True 
Togo,8278737,56785,Africa,True 
Kazajistán,18754440,2724900,Asia,True 
Bahrein,1701583,765,Asia,True 
Omán,5106622,309500,Asia,True 
Afganistán,40218234,652230,Asia,True 
Emiratos Árabes Unidos,9890400,83600,Asia,True 
Belice,397621,22966,Americas,True 
Barbados,287371,430,Americas,True 
Haití,11402533,27750,Americas,True 
Iran,83992953,1648195,Asia,True 
Islas Marianas Del Norte,57557,464,Oceania,False 
Yemen,29825968,527968,Asia,True 
San Bartolomé,4255,21,Americas,False 
Italia,59554023,301336,Europe,True 
Chile,19116209,756102,Americas,True 
Brunei,437483,5765,Asia,True 
El Salvador,6486201,21041,Americas,True 
Montserrat,4922,102,Americas,False 
Camerún,26545864,475442,Africa,True 
Somalia,15893219,637657,Africa,True 
Bahamas,393248,13943,Americas,True 
Guinea-Bisáu,1967998,36125,Africa,True 
Uganda,45741000,241550,Africa,True 
Uzbekistán,34232050,447400,Asia,True 
Singapur,5685807,710,Asia,True 
Costa Rica,5094114,51100,Americas,True 
Hungría,9749763,93028,Europe,True 
San Cristóbal Y Nieves,53192,261,Americas,True 
Taiwán,23503349,36193,Asia,False 
Isla De Norfolk,2302,36,Oceania,False 
Hong Kong,7500700,1104,Asia,False 
Maldivas,540542,300,Asia,True 
Liberia,5057677,111369,Africa,True 
Islas Heard Y Mcdonald,0,412,Antarctic,False 
Tonga,105697,747,Oceania,True 
Turquía,84339067,783562,Asia,True 
Islas Salomón,686878,28896,Oceania,True 
Bermudas,63903,54,Americas,False 
Georgia,3714000,69700,Asia,True 
Colombia,50882884,1141748,Americas,True 
Malta,525285,316,Europe,True 
Azerbaiyán,10110116,86600,Asia,True 
Sudán,43849269,1886068,Africa,True 
Alandia,29458,1580,Europe,False 
Honduras,9904608,112492,Americas,True 
Pakistán,220892331,881912,Asia,True 
